COSPAR_number;NORAD_number;contractor1;contractor2;contractor3;contractor4;contractor5
2020-035BF;45710;SpaceX;;;;
2020-035BG;45711;SpaceX;;;;
2020-035BH;45712;SpaceX;;;;
2020-035BJ;45713;SpaceX;;;;
2020-035BK;45714;SpaceX;;;;
2020-035BL;45715;SpaceX;;;;
2020-035B;45658;SpaceX;;;;
2020-035C;45659;SpaceX;;;;
2020-035D;45660;SpaceX;;;;
2020-035E;45661;SpaceX;;;;
2020-035F;45662;SpaceX;;;;
2020-035G;45663;SpaceX;;;;
2020-035J;45665;SpaceX;;;;
2020-035K;45666;SpaceX;;;;
2020-035L;45667;SpaceX;;;;
2020-035M;45668;SpaceX;;;;
2020-035N;45669;SpaceX;;;;
2020-035P;45670;SpaceX;;;;
2020-035Q;45671;SpaceX;;;;
2020-035R;45672;SpaceX;;;;
2020-035S;45673;SpaceX;;;;
2020-035T;45674;SpaceX;;;;
2020-035U;45675;SpaceX;;;;
2020-038AR;45769;SpaceX;;;;
2020-035V;45676;SpaceX;;;;
2020-038A;45730;SpaceX;;;;
2020-038AS;45770;SpaceX;;;;
2020-038AT;45771;SpaceX;;;;
2020-038X;45751;SpaceX;;;;
2020-038B;45731;SpaceX;;;;
2020-038C;45732;SpaceX;;;;
2020-038D;45733;SpaceX;;;;
2020-038E;45734;SpaceX;;;;
2020-038AU;45772;SpaceX;;;;
2020-038F;45735;SpaceX;;;;
2020-038G;45736;SpaceX;;;;
2020-038J;45738;SpaceX;;;;
2020-038K;45739;SpaceX;;;;
2020-038Z;45753;SpaceX;;;;
2020-038AA;45754;SpaceX;;;;
2020-038AB;45755;SpaceX;;;;
2020-038L;45740;SpaceX;;;;
2020-038M;45741;SpaceX;;;;
2020-038N;45742;SpaceX;;;;
2020-038AV;45773;SpaceX;;;;
2020-038P;45743;SpaceX;;;;
2020-038AC;45756;SpaceX;;;;
2020-038AW;45774;SpaceX;;;;
2020-038AD;45757;SpaceX;;;;
2020-038AE;45758;SpaceX;;;;
2020-038AX;45775;SpaceX;;;;
2020-038AY;45776;SpaceX;;;;
2020-038AZ;45777;SpaceX;;;;
2020-038BA;45778;SpaceX;;;;
2020-038BB;45779;SpaceX;;;;
2020-038AF;45759;SpaceX;;;;
2020-038AG;45760;SpaceX;;;;
2020-038BC;45780;SpaceX;;;;
2020-038BD;45781;SpaceX;;;;
2020-038BE;45782;SpaceX;;;;
2020-038AJ;45762;SpaceX;;;;
2020-038Q;45744;SpaceX;;;;
2020-038AL;45764;SpaceX;;;;
2020-038R;45745;SpaceX;;;;
2020-038S;45746;SpaceX;;;;
2020-038BF;45783;SpaceX;;;;
2020-038T;45747;SpaceX;;;;
2020-038U;45748;SpaceX;;;;
2020-038AN;45766;SpaceX;;;;
2020-038BG;45784;SpaceX;;;;
2020-038AP;45767;SpaceX;;;;
2020-038BH;45785;SpaceX;;;;
2020-038BJ;45786;SpaceX;;;;
2020-055AQ;46065;SpaceX;;;;
2020-038BK;45787;SpaceX;;;;
2020-038AQ;45768;SpaceX;;;;
2020-055A;46027;SpaceX;;;;
2020-055B;46028;SpaceX;;;;
2020-055W;46047;SpaceX;;;;
2020-055AR;46066;SpaceX;;;;
2020-055C;46029;SpaceX;;;;
2020-055X;46048;SpaceX;;;;
2021-012A;47620;SpaceX;;;;
2020-055AS;46067;SpaceX;;;;
2020-055Y;46049;SpaceX;;;;
2020-070AS;46572;SpaceX;;;;
2020-055AT;46068;SpaceX;;;;
2020-055AU;46069;SpaceX;;;;
2020-055D;46030;SpaceX;;;;
2020-055AV;46070;SpaceX;;;;
2020-055AW;46071;SpaceX;;;;
2020-055AX;46072;SpaceX;;;;
2020-055AA;46051;SpaceX;;;;
2020-055AB;46052;SpaceX;;;;
2020-055AY;46073;SpaceX;;;;
2020-055AC;46053;SpaceX;;;;
2020-055E;46031;SpaceX;;;;
2020-057AR;46156;SpaceX;;;;
2020-062X;46346;SpaceX;;;;
2020-062Y;46347;SpaceX;;;;
2020-055AD;46054;SpaceX;;;;
2020-055AZ;46074;SpaceX;;;;
2020-062AS;46365;SpaceX;;;;
2020-055BA;46075;SpaceX;;;;
2020-055BB;46076;SpaceX;;;;
2020-062Z;46348;SpaceX;;;;
2020-055AE;46055;SpaceX;;;;
2020-055F;46032;SpaceX;;;;
2020-055G;46033;SpaceX;;;;
2020-055H;46034;SpaceX;;;;
2020-055J;46035;SpaceX;;;;
2020-055BC;46077;SpaceX;;;;
2020-055K;46036;SpaceX;;;;
2020-055AF;46056;SpaceX;;;;
2020-055AG;46057;SpaceX;;;;
2020-055BD;46078;SpaceX;;;;
2020-055AH;46058;SpaceX;;;;
2020-055L;46037;SpaceX;;;;
2020-055BE;46079;SpaceX;;;;
2020-055M;46038;SpaceX;;;;
2020-055BF;46080;SpaceX;;;;
2020-055N;46039;SpaceX;;;;
2020-055AJ;46059;SpaceX;;;;
2020-055BG;46081;SpaceX;;;;
2020-055AK;46060;SpaceX;;;;
2020-055AL;46061;SpaceX;;;;
2020-055AM;46062;SpaceX;;;;
2020-062AA;46349;SpaceX;;;;
2020-055P;46040;SpaceX;;;;
2020-055AN;46063;SpaceX;;;;
2020-055BH;46082;SpaceX;;;;
2020-055BJ;46083;SpaceX;;;;
2020-055Q;46041;SpaceX;;;;
2020-055R;46042;SpaceX;;;;
2020-055S;46043;SpaceX;;;;
2020-055AP;46064;SpaceX;;;;
2020-055T;46044;SpaceX;;;;
2020-057A;46117;SpaceX;;;;
2020-057W;46137;SpaceX;;;;
2020-057AS;46157;SpaceX;;;;
2020-057B;46118;SpaceX;;;;
2020-057AT;46158;SpaceX;;;;
2020-057X;46138;SpaceX;;;;
2020-055U;46045;SpaceX;;;;
2020-057C;46119;SpaceX;;;;
2020-057Z;46140;SpaceX;;;;
2020-057AU;46159;SpaceX;;;;
2020-057AA;46141;SpaceX;;;;
2020-057AB;46142;SpaceX;;;;
2020-057AV;46160;SpaceX;;;;
2020-057AW;46161;SpaceX;;;;
2020-057D;46120;SpaceX;;;;
2020-057E;46121;SpaceX;;;;
2020-057AX;46162;SpaceX;;;;
2020-057F;46122;SpaceX;;;;
2020-057G;46123;SpaceX;;;;
2020-057AD;46144;SpaceX;;;;
2020-057AE;46145;SpaceX;;;;
2020-057AF;46146;SpaceX;;;;
2021-012B;47621;SpaceX;;;;
2020-057AY;46163;SpaceX;;;;
2020-057AG;46147;SpaceX;;;;
2020-057AZ;46164;SpaceX;;;;
2020-057BA;46165;SpaceX;;;;
2020-057H;46124;SpaceX;;;;
2020-057BB;46166;SpaceX;;;;
2020-057AH;46148;SpaceX;;;;
2020-062AB;46350;SpaceX;;;;
2020-057J;46125;SpaceX;;;;
2020-057K;46126;SpaceX;;;;
2020-057AJ;46149;SpaceX;;;;
2020-057L;46127;SpaceX;;;;
2020-057M;46128;SpaceX;;;;
2020-057N;46129;SpaceX;;;;
2020-057P;46130;SpaceX;;;;
2020-057Q;46131;SpaceX;;;;
2020-057BC;46167;SpaceX;;;;
2020-057BD;46168;SpaceX;;;;
2020-057BE;46169;SpaceX;;;;
2020-057AK;46150;SpaceX;;;;
2020-057R;46132;SpaceX;;;;
2020-057AL;46151;SpaceX;;;;
2020-057BG;46171;SpaceX;;;;
2020-057AM;46152;SpaceX;;;;
2020-057BH;46172;SpaceX;;;;
2020-057AN;46153;SpaceX;;;;
2020-057S;46133;SpaceX;;;;
2020-057T;46134;SpaceX;;;;
2020-057U;46135;SpaceX;;;;
2020-057BJ;46173;SpaceX;;;;
2020-057BK;46174;SpaceX;;;;
2020-057AP;46154;SpaceX;;;;
2020-057V;46136;SpaceX;;;;
2020-070A;46532;SpaceX;;;;
2021-012C;47622;SpaceX;;;;
2020-062AC;46351;SpaceX;;;;
2021-024B;47978;SpaceX;;;;
2020-070B;46533;SpaceX;;;;
2020-070AT;46573;SpaceX;;;;
2020-062AT;46366;SpaceX;;;;
2020-062AD;46352;SpaceX;;;;
2020-062B;46326;SpaceX;;;;
2021-012D;47623;SpaceX;;;;
2020-062AE;46353;SpaceX;;;;
2020-062AF;46354;SpaceX;;;;
2020-062AV;46368;SpaceX;;;;
2020-070C;46534;SpaceX;;;;
2020-070AU;46574;SpaceX;;;;
2020-062AG;46355;SpaceX;;;;
2020-070D;46535;SpaceX;;;;
2020-070X;46553;SpaceX;;;;
2020-062AH;46356;SpaceX;;;;
2020-062AJ;46357;SpaceX;;;;
2020-057AQ;46155;SpaceX;;;;
2021-012E;47624;SpaceX;;;;
2020-062AX;46370;SpaceX;;;;
2020-070Y;46554;SpaceX;;;;
2020-070F;46537;SpaceX;;;;
2020-062C;46327;SpaceX;;;;
2020-070AV;46575;SpaceX;;;;
2020-070AA;46556;SpaceX;;;;
2020-070AW;46576;SpaceX;;;;
2020-070G;46538;SpaceX;;;;
2020-070AB;46557;SpaceX;;;;
2020-070AC;46558;SpaceX;;;;
2020-070AD;46559;SpaceX;;;;
2020-070AX;46577;SpaceX;;;;
2020-070AY;46578;SpaceX;;;;
2020-062D;46328;SpaceX;;;;
2020-070K;46541;SpaceX;;;;
2020-062AY;46371;SpaceX;;;;
2020-062AZ;46372;SpaceX;;;;
2020-062AK;46358;SpaceX;;;;
2020-070L;46542;SpaceX;;;;
2020-070M;46543;SpaceX;;;;
2020-070N;46544;SpaceX;;;;
2020-062E;46329;SpaceX;;;;
2020-070P;46545;SpaceX;;;;
2020-070Q;46546;SpaceX;;;;
2020-070R;46547;SpaceX;;;;
2020-070S;46548;SpaceX;;;;
2020-070T;46549;SpaceX;;;;
2020-070U;46550;SpaceX;;;;
2021-012F;47625;SpaceX;;;;
2020-070AZ;46579;SpaceX;;;;
2020-070AE;46560;SpaceX;;;;
2020-062AL;46359;SpaceX;;;;
2020-070BA;46580;SpaceX;;;;
2020-070AF;46561;SpaceX;;;;
2020-062F;46330;SpaceX;;;;
2020-062BB;46374;SpaceX;;;;
2020-070BB;46581;SpaceX;;;;
2020-062AM;46360;SpaceX;;;;
2020-070AG;46562;SpaceX;;;;
2020-073B;46671;SpaceX;;;;
2020-073C;46672;SpaceX;;;;
2020-073D;46673;SpaceX;;;;
2020-073E;46674;SpaceX;;;;
2020-062G;46331;SpaceX;;;;
2020-073F;46675;SpaceX;;;;
2020-062H;46332;SpaceX;;;;
2020-062AN;46361;SpaceX;;;;
2020-062J;46333;SpaceX;;;;
2020-062BC;46375;SpaceX;;;;
2020-062K;46334;SpaceX;;;;
2020-062AP;46362;SpaceX;;;;
2020-062L;46335;SpaceX;;;;
2020-070BC;46582;SpaceX;;;;
2020-070BD;46583;SpaceX;;;;
2020-070AH;46563;SpaceX;;;;
2020-070BE;46584;SpaceX;;;;
2020-070AJ;46564;SpaceX;;;;
2020-062A;46325;SpaceX;;;;
2020-070AK;46565;SpaceX;;;;
2020-070BF;46585;SpaceX;;;;
2020-070BG;46586;SpaceX;;;;
2020-062M;46336;SpaceX;;;;
2020-062AQ;46363;SpaceX;;;;
2020-070AL;46566;SpaceX;;;;
2020-070AM;46567;SpaceX;;;;
2020-062BD;46376;SpaceX;;;;
2020-070BJ;46588;SpaceX;;;;
2020-070AP;46569;SpaceX;;;;
2020-070AQ;46570;SpaceX;;;;
2020-070BK;46589;SpaceX;;;;
2020-062N;46337;SpaceX;;;;
2020-062P;46338;SpaceX;;;;
2020-070BM;46591;SpaceX;;;;
2020-062BH;46380;SpaceX;;;;
2020-062R;46340;SpaceX;;;;
2020-062S;46341;SpaceX;;;;
2021-012G;47626;SpaceX;;;;
2020-062T;46342;SpaceX;;;;
2020-062AR;46364;SpaceX;;;;
2020-062U;46343;SpaceX;;;;
2020-062V;46344;SpaceX;;;;
2020-073H;46677;SpaceX;;;;
2020-062W;46345;SpaceX;;;;
2020-062BK;46382;SpaceX;;;;
2020-062BL;46383;SpaceX;;;;
2020-062BM;46384;SpaceX;;;;
2020-073K;46679;SpaceX;;;;
2020-073L;46680;SpaceX;;;;
2020-073M;46681;SpaceX;;;;
2020-073N;46682;SpaceX;;;;
2020-088A;47122;SpaceX;;;;
2020-073Q;46684;SpaceX;;;;
2020-073R;46685;SpaceX;;;;
2021-009A;47548;SpaceX;;;;
2020-073S;46686;SpaceX;;;;
2020-073T;46687;SpaceX;;;;
2020-088C;47124;SpaceX;;;;
2020-073V;46689;SpaceX;;;;
2020-073W;46690;SpaceX;;;;
2020-073X;46691;SpaceX;;;;
2020-073Y;46692;SpaceX;;;;
2020-073Z;46693;SpaceX;;;;
2020-073AA;46694;SpaceX;;;;
2020-073AB;46695;SpaceX;;;;
2020-073AC;46696;SpaceX;;;;
2020-073AE;46698;SpaceX;;;;
2020-074AS;46779;SpaceX;;;;
2020-073AF;46699;SpaceX;;;;
2020-073AG;46700;SpaceX;;;;
2020-073AH;46701;SpaceX;;;;
2020-073AJ;46702;SpaceX;;;;
2020-073AK;46703;SpaceX;;;;
2020-073AL;46704;SpaceX;;;;
2020-073AM;46705;SpaceX;;;;
2021-009B;47549;SpaceX;;;;
2020-073AN;46706;SpaceX;;;;
2020-073AP;46707;SpaceX;;;;
2020-073AR;46709;SpaceX;;;;
2020-073AS;46710;SpaceX;;;;
2020-088E;47126;SpaceX;;;;
2020-073AT;46711;SpaceX;;;;
2020-073AU;46712;SpaceX;;;;
2020-073AV;46713;SpaceX;;;;
2020-073AW;46714;SpaceX;;;;
2020-073AX;46715;SpaceX;;;;
2020-073AY;46716;SpaceX;;;;
2020-073AZ ;46717;SpaceX;;;;
2020-073BA;46718;SpaceX;;;;
2020-073BB;46719;SpaceX;;;;
2020-073BE;46722;SpaceX;;;;
2020-073BF;46723;SpaceX;;;;
2020-073BH;46725;SpaceX;;;;
2020-073BJ;46726;SpaceX;;;;
2020-073BK;46727;SpaceX;;;;
2020-074AT;46780;SpaceX;;;;
2020-074W;46759;SpaceX;;;;
2020-074AU;46781;SpaceX;;;;
2020-074AV;46782;SpaceX;;;;
2020-088G;47128;SpaceX;;;;
2020-088H;47129;SpaceX;;;;
2020-088J;47130;SpaceX;;;;
2020-088L;47132;SpaceX;;;;
2020-088M;47133;SpaceX;;;;
2020-088N;47134;SpaceX;;;;
2020-088P;47135;SpaceX;;;;
2020-088Q;47136;SpaceX;;;;
2020-074B;46740;SpaceX;;;;
2020-088R;47137;SpaceX;;;;
2020-088S;47138;SpaceX;;;;
2020-074AW;46783;SpaceX;;;;
2020-088T;47139;SpaceX;;;;
2020-088V;47141;SpaceX;;;;
2020-088X;47143;SpaceX;;;;
2020-088Y;47144;SpaceX;;;;
2020-088AB;47147;SpaceX;;;;
2020-088AC;47148;SpaceX;;;;
2020-088AD;47149;SpaceX;;;;
2020-088AE;47150;SpaceX;;;;
2020-088AF;47151;SpaceX;;;;
2020-074C;46741;SpaceX;;;;
2020-088AG;47152;SpaceX;;;;
2020-088AH;47153;SpaceX;;;;
2020-088AJ;47154;SpaceX;;;;
2020-088AK;47155;SpaceX;;;;
2020-088AM;47157;SpaceX;;;;
2020-088AN;47158;SpaceX;;;;
2020-088AR;47161;SpaceX;;;;
2020-088AS;47162;SpaceX;;;;
2020-088AT;47163;SpaceX;;;;
2020-088AU;47164;SpaceX;;;;
2020-088AV;47165;SpaceX;;;;
2020-074AX;46784;SpaceX;;;;
2020-074AY;46785;SpaceX;;;;
2020-088AX;47167;SpaceX;;;;
2020-088BA;47170;SpaceX;;;;
2020-088BB;47171;SpaceX;;;;
2020-088BD;47173;SpaceX;;;;
2020-088BE;47174;SpaceX;;;;
2020-074E;46743;SpaceX;;;;
2020-074AZ;46786;SpaceX;;;;
2020-074F;46744;SpaceX;;;;
2020-088BF;47175;SpaceX;;;;
2020-074X;46760;SpaceX;;;;
2020-074BA;46787;SpaceX;;;;
2020-074AB;46764;SpaceX;;;;
2021-038AN;48389;SpaceX;;;;
2020-074H;46746;SpaceX;;;;
2020-074AC;46765;SpaceX;;;;
2020-088BH;47177;SpaceX;;;;
2020-074J;46747;SpaceX;;;;
2021-009C;47550;SpaceX;;;;
2020-074K;46748;SpaceX;;;;
2020-074L;46749;SpaceX;;;;
2020-088BJ;47178;SpaceX;;;;
2020-088BK;47179;SpaceX;;;;
2020-074AD;46766;SpaceX;;;;
2020-074AE;46767;SpaceX;;;;
2020-074AF;46768;SpaceX;;;;
2020-074N;46751;SpaceX;;;;
2020-074P;46752;SpaceX;;;;
2020-074Q;46753;SpaceX;;;;
2020-074R;46754;SpaceX;;;;
2020-074S;46755;SpaceX;;;;
2020-074T;46756;SpaceX;;;;
2020-074U;46757;SpaceX;;;;
2020-088BM;47181;SpaceX;;;;
2020-074V;46758;SpaceX;;;;
2020-074BB;46788;SpaceX;;;;
2020-074BC;46789;SpaceX;;;;
2020-074BD;46790;SpaceX;;;;
2020-074AH;46770;SpaceX;;;;
2020-074BE;46791;SpaceX;;;;
2020-074BF;46792;SpaceX;;;;
2020-074AK;46772;SpaceX;;;;
2021-009D;47551;SpaceX;;;;
2021-009E;47552;SpaceX;;;;
2020-074BG;46793;SpaceX;;;;
2020-074BH;46794;SpaceX;;;;
2020-074BJ;46795;SpaceX;;;;
2020-074BK;46796;SpaceX;;;;
2020-074BM;46798;SpaceX;;;;
2021-009G;47554;SpaceX;;;;
2021-009H;47555;SpaceX;;;;
2021-009J;47556;SpaceX;;;;
2021-009K;47557;SpaceX;;;;
2021-009L;47558;SpaceX;;;;
2021-009M;47559;SpaceX;;;;
2021-009N;47560;SpaceX;;;;
2021-009P;47561;SpaceX;;;;
2021-009Q;47562;SpaceX;;;;
2021-009R;47563;SpaceX;;;;
2021-009S;47564;SpaceX;;;;
2021-009T;47565;SpaceX;;;;
2021-009U;47566;SpaceX;;;;
2021-009V;47567;SpaceX;;;;
2021-009W;47568;SpaceX;;;;
2021-009Y;47570;SpaceX;;;;
2021-009Z;47571;SpaceX;;;;
2021-009AA;47572;SpaceX;;;;
2021-012H;47627;SpaceX;;;;
2021-012J;47628;SpaceX;;;;
2021-012K;47629;SpaceX;;;;
2021-009AB;47573;SpaceX;;;;
2021-009AC;47574;SpaceX;;;;
2021-009AD;47575;SpaceX;;;;
2021-009AE;47576;SpaceX;;;;
2021-009AF;47577;SpaceX;;;;
2021-009AG;47578;SpaceX;;;;
2021-009AH;47579;SpaceX;;;;
2021-009AJ;47580;SpaceX;;;;
2021-012L;47630;SpaceX;;;;
2021-009AK;47581;SpaceX;;;;
2021-009AL;47582;SpaceX;;;;
2021-009AM;47583;SpaceX;;;;
2021-009AP;47585;SpaceX;;;;
2021-009AQ;47586;SpaceX;;;;
2021-009AR;47587;SpaceX;;;;
2021-012N;47632;SpaceX;;;;
2021-009AS;47588;SpaceX;;;;
2021-009AT;47589;SpaceX;;;;
2021-009AU;47590;SpaceX;;;;
2021-009AV;47591;SpaceX;;;;
2021-009AW;47592;SpaceX;;;;
2021-009AX;47593;SpaceX;;;;
2021-009AY;47594;SpaceX;;;;
2021-009AZ;47595;SpaceX;;;;
2021-009BA;47596;SpaceX;;;;
2021-009BB;47597;SpaceX;;;;
2021-009BC;47598;SpaceX;;;;
2021-009BD;47599;SpaceX;;;;
2021-009BE;47600;SpaceX;;;;
2021-009BF;47601;SpaceX;;;;
2021-009BG;47602;SpaceX;;;;
2021-009BH;47603;SpaceX;;;;
2021-012P;47633;SpaceX;;;;
2021-012Q;47634;SpaceX;;;;
2021-005B;47350;SpaceX;;;;
2021-012R;47635;SpaceX;;;;
2021-012S;47636;SpaceX;;;;
2021-012T;47637;SpaceX;;;;
2021-012U;47638;SpaceX;;;;
2021-012V;47639;SpaceX;;;;
2021-005C;47351;SpaceX;;;;
2021-012W;47640;SpaceX;;;;
2021-012X;47641;SpaceX;;;;
2021-012Y;47642;SpaceX;;;;
2021-009BJ;47604;SpaceX;;;;
2021-012Z;47643;SpaceX;;;;
2021-009BL;47606;SpaceX;;;;
2021-009BM;47607;SpaceX;;;;
2021-012AA;47644;SpaceX;;;;
2021-012AB;47645;SpaceX;;;;
2021-012AC;47646;SpaceX;;;;
2021-036AW;48320;SpaceX;;;;
2021-012AD;47647;SpaceX;;;;
2021-012AE;47648;SpaceX;;;;
2021-012AF;47649;SpaceX;;;;
2021-012AG;47650;SpaceX;;;;
2021-005D;47352;SpaceX;;;;
2021-012AH;47651;SpaceX;;;;
2021-012AJ;47652;SpaceX;;;;
2021-012AK;47653;SpaceX;;;;
2021-012AL;47654;SpaceX;;;;
2021-012AM;47655;SpaceX;;;;
2021-012AN;47656;SpaceX;;;;
2021-012AP;47657;SpaceX;;;;
2021-012AQ;47658;SpaceX;;;;
2021-012AR;47659;SpaceX;;;;
2021-012AS;47660;SpaceX;;;;
2021-005E;47353;SpaceX;;;;
2021-005F;47354;SpaceX;;;;
2021-005G;47355;SpaceX;;;;
2021-027A;48092;SpaceX;;;;
2021-005H;47356;SpaceX;;;;
2021-005J;47357;SpaceX;;;;
2021-012AT;47661;SpaceX;;;;
2021-012AU;47662;SpaceX;;;;
2021-012AV;47663;SpaceX;;;;
2021-012AW;47664;SpaceX;;;;
2021-005K;47358;SpaceX;;;;
2021-012AX;47665;SpaceX;;;;
2021-012AY;47666;SpaceX;;;;
2021-012AZ;47667;SpaceX;;;;
2021-012BA;47668;SpaceX;;;;
2021-012BB;47669;SpaceX;;;;
2021-036AN;48312;SpaceX;;;;
2021-012BC;47670;SpaceX;;;;
2021-041A;48553;SpaceX;;;;
2021-012BD;47671;SpaceX;;;;
2021-012BE;47672;SpaceX;;;;
2021-012BF;47673;SpaceX;;;;
2021-012BG;47674;SpaceX;;;;
2021-017A;47722;SpaceX;;;;
2021-005L;47359;SpaceX;;;;
2021-005M;47360;SpaceX;;;;
2021-005N;47361;SpaceX;;;;
2021-005P;47362;SpaceX;;;;
2021-005Q;47363;SpaceX;;;;
2021-012BH;47675;SpaceX;;;;
2021-005T;47366;SpaceX;;;;
2021-005U;47367;SpaceX;;;;
2021-012BJ;47676;SpaceX;;;;
2021-005V;47368;SpaceX;;;;
2021-005W;47369;SpaceX;;;;
2021-005X;47370;SpaceX;;;;
2021-024A;47977;SpaceX;;;;
2021-005Y;47371;SpaceX;;;;
2021-005Z;47372;SpaceX;;;;
2021-012BK;47677;SpaceX;;;;
2021-005AA ;47373;SpaceX;;;;
2021-005AB;47374;SpaceX;;;;
2021-005AC;47375;SpaceX;;;;
2021-012BM;47679;SpaceX;;;;
2021-005AD;47376;SpaceX;;;;
2021-005AE;47377;SpaceX;;;;
2021-005AF;47378;SpaceX;;;;
2021-005AG;47379;SpaceX;;;;
2021-005AH;47380;SpaceX;;;;
2021-005AJ;47381;SpaceX;;;;
2021-005AK;47382;SpaceX;;;;
2021-005AL;47383;SpaceX;;;;
2021-005AM;47384;SpaceX;;;;
2021-005AN;47385;SpaceX;;;;
2021-005AP;47386;SpaceX;;;;
2021-017B;47723;SpaceX;;;;
2021-005AQ;47387;SpaceX;;;;
2021-005AR;47388;SpaceX;;;;
2021-005AS;47389;SpaceX;;;;
2021-005AT;47390;SpaceX;;;;
2021-005AU;47391;SpaceX;;;;
2021-005AV;47392;SpaceX;;;;
2021-005AW;47393;SpaceX;;;;
2021-005AX;47394;SpaceX;;;;
2021-017C;47724;SpaceX;;;;
2021-005AY;47395;SpaceX;;;;
2021-005AZ;47396;SpaceX;;;;
2021-005BA;47397;SpaceX;;;;
2021-005BB;47398;SpaceX;;;;
2021-005BC;47399;SpaceX;;;;
2021-005BD;47400;SpaceX;;;;
2021-005BE;47401;SpaceX;;;;
2021-005BF;47402;SpaceX;;;;
2021-017D;47725;SpaceX;;;;
2021-017E;47726;SpaceX;;;;
2021-005BG;47403;SpaceX;;;;
2021-005BH;47404;SpaceX;;;;
2021-017F;47727;SpaceX;;;;
2021-005BJ;47405;SpaceX;;;;
2021-017G;47728;SpaceX;;;;
2021-017H;47729;SpaceX;;;;
2021-005BK;47406;SpaceX;;;;
2021-005BL;47407;SpaceX;;;;
2021-005BM;47408;SpaceX;;;;
2021-041B;48554;SpaceX;;;;
2021-017J;47730;SpaceX;;;;
2021-017K;47731;SpaceX;;;;
2021-017L;47732;SpaceX;;;;
2021-017M;47733;SpaceX;;;;
2021-017N;47734;SpaceX;;;;
2021-041C;48555;SpaceX;;;;
2021-017P;47735;SpaceX;;;;
2021-017Q;37736;SpaceX;;;;
2021-017R;47737;SpaceX;;;;
2021-017S;47738;SpaceX;;;;
2021-017T;47739;SpaceX;;;;
2021-041D;48556;SpaceX;;;;
2021-017U;47740;SpaceX;;;;
2021-024AJ;48009;SpaceX;;;;
2021-017V;47741;SpaceX;;;;
2021-041E;48557;SpaceX;;;;
2021-017W;47742;SpaceX;;;;
2021-017X;47743;SpaceX;;;;
2021-017Y;47744;SpaceX;;;;
2021-017Z;47745;SpaceX;;;;
2021-017AA;47746;SpaceX;;;;
2021-017AB;47747;SpaceX;;;;
2021-017AC;47748;SpaceX;;;;
2021-017AD;47749;SpaceX;;;;
2021-017AE;47750;SpaceX;;;;
2021-041F;48558;SpaceX;;;;
2021-041G;48559;SpaceX;;;;
2021-017AF;47751;SpaceX;;;;
2021-017AG;47752;SpaceX;;;;
2021-017AH;47753;SpaceX;;;;
2021-017AJ;47754;SpaceX;;;;
2021-017AL;47756;SpaceX;;;;
2021-017AM;47757;SpaceX;;;;
2021-017AQ;47760;SpaceX;;;;
2021-017AR;47761;SpaceX;;;;
2021-017AS;47762;SpaceX;;;;
2021-017AT;47763;SpaceX;;;;
2021-017AU;47764;SpaceX;;;;
2021-017AW;47766;SpaceX;;;;
2021-017AX;47767;SpaceX;;;;
2021-041J;48561;SpaceX;;;;
2021-041K;48562;SpaceX;;;;
2021-041L;48563;SpaceX;;;;
2021-017AY;47768;SpaceX;;;;
2021-041M;48564;SpaceX;;;;
2021-041N;48565;SpaceX;;;;
2021-017AZ;47769;SpaceX;;;;
2021-017BA;47770;SpaceX;;;;
2021-017BB;47771;SpaceX;;;;
2021-017BC;47772;SpaceX;;;;
2021-017BD;47773;SpaceX;;;;
2021-017BE;47774;SpaceX;;;;
2021-017BF;47775;SpaceX;;;;
2021-017BG;47776;SpaceX;;;;
2021-017BH;47777;SpaceX;;;;
2021-017BJ;47778;SpaceX;;;;
2021-017BK;47779;SpaceX;;;;
2021-041BB;48602;SpaceX;;;;
2021-017BL;47780;SpaceX;;;;
2021-041P;48566;SpaceX;;;;
2021-041Q;48567;SpaceX;;;;
2021-041R;48568;SpaceX;;;;
2021-024Y;47999;SpaceX;;;;
2021-041S;48569;SpaceX;;;;
2021-041T;48570;SpaceX;;;;
2021-041U;48571;SpaceX;;;;
2021-041V;48572;SpaceX;;;;
2021-017BM;47781;SpaceX;;;;
2021-041W;48573;SpaceX;;;;
2021-041X;48574;SpaceX;;;;
2021-024AK;48010;SpaceX;;;;
2021-041Y;48575;SpaceX;;;;
2021-041Z;48576;SpaceX;;;;
2021-024R;47992;SpaceX;;;;
2021-041AA;48577;SpaceX;;;;
2021-041AB;48578;SpaceX;;;;
2021-041AC;48579;SpaceX;;;;
2021-041AD;48580;SpaceX;;;;
2021-041AE;48581;SpaceX;;;;
2021-041AF;48582;SpaceX;;;;
2021-041AG;48583;SpaceX;;;;
2021-041AH;48584;SpaceX;;;;
2021-041AJ;48585;SpaceX;;;;
2021-041AK;48586;SpaceX;;;;
2021-041AL;48587;SpaceX;;;;
2021-024AN;48013;SpaceX;;;;
2021-041AM;48588;SpaceX;;;;
2021-041AN;48589;SpaceX;;;;
2021-040U;48446;SpaceX;;;;
2021-041AQ;48591;SpaceX;;;;
2021-041AR;48592;SpaceX;;;;
2021-041AS;48593;SpaceX;;;;
2021-041AT;48594;SpaceX;;;;
2021-041AU;48595;SpaceX;;;;
2021-041AV;48596;SpaceX;;;;
2021-024AE;48005;SpaceX;;;;
2021-041AW;48597;SpaceX;;;;
2021-041AX;48598;SpaceX;;;;
2021-018A;47787;SpaceX;;;;
